grouping,dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,"",Site_Name,Other_Name,Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
24,10260533,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10260533,,60190001,Garnet Pike,36.87745,-119.01405,NA,United States,California,Fresno,M,,,Tungsten,Surface-Underground,,,Past Producer,,,"Arsenopyrite, Calcite, Chalcopyrite, Diopside, Molybdenite, Pyrrhotite, Quartz, Scheelite, Tremolite",,"Surface, Underground",,,,Panoche Valley Deposit,,Unknown,,,,,,,"CALIF JOUR MINES & GEOL V 4 NO 3, JULY 1951,P506,544,PL 31;DBULL 163,P 49-50,120 PL 1;",,,,,,,,,D,,,,,,,,,,,,,,,,,
240,10008596,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008596,D000909,,War Baby,37.4166,-119.6843,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,,,,,,,,,,"Elliott, James E., Fraticelli, L. A. (Albers, J.)",,,,,,,"BOWEN, O. E. AND CLIFFTON, G. H., 1957, MINES AND MINERAL RESOURCES, MARIPOSA COUNTY;  CA. JOUR. MINES AND GEOLOGY VOL. 53, NO. 1 & 2, DIV. OF MINES, P. 331.LEMMON, D.M., AND TWETO, O.L., 1962, TUNGSTEN IN THE U.S., USGS MAP, MR-25.BOWEN AND CLIFFTON, 1957",,,,,,,,,D,,,,,,,,,,,,,,,,,
240,10031299,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031299,M009972,,War Baby,37.42382,-119.68653,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,Y,Producer,,,,,,,,,,,"Gere, W.",,,,,,,"DOM S.R. 35, P. 75CALIF. JOUR. MINES & GEOL. V. 53, NOS. 1 - 2, JAN.-APRIL, 1957, P. 331; V. 38, NOS. 3-4, JULY-OCT., 1942, P. 337",,,,,,,,,D,,,,,,,,,,,,,,,,,
240,10163209,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163209,D000909,60430699,War Baby,37.42383,-119.68657,NA,United States,California,Mariposa,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,CALIF JOUR MINES &GEOL V53 NOS 1&2JAN-APR-1957 P331,,,,,,,,,D,,,,,,,,,,,,,,,,,
241,10031296,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031296,M009969,,Washington Tungsten,37.39632,-119.8057,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,N,Occurrence,,,,,,,,,,,"Gere, W.",,,,,,,"CALIF. JOUR. MINES & GEOLOGY, V. 53, NOS. 1 & 2, JAN.-APRIL, 1957, P. 332",,,,,,,,,D,,,,,,,,,,,,,,,,,
241,10139695,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139695,M009969,60430696,Washington Tungsten,37.39353,-119.80268,NA,United States,California,Mariposa,M,Tungsten,,,Processing Plant,,,Unknown,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,CALIF JOUR MINES &GEOL V53 NOS 1&2JAN-APR-1957 P333,,,,,,,,,D,,,,,,,,,,,,,,,,,
242,10031476,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031476,M010318,,Apex Lode,38.0477,-119.18569,NA,United States,California,Mono,M,Tungsten,,,Unknown,,N,Occurrence,,,,,,,,,,,"Gere, W.",,,,,,,"USBM MINERALS YEARBOOK, 1955, P. 220-21CALIF. V. 36, NO. 2, PL. 1",,,,,,,,,D,,,,,,,,,,,,,,,,,
242,10261301,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10261301,M010318,60510291,Apex Lode,38.04632,-119.18707,NA,United States,California,Mono,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,"Ridenour, James",,,,,,,"CALIF. JOUR. MINES AND GEOL., V. 36, 1940, PLATE 1.",,,,,,,,,D,,,,,,,,,,,,,,,,,
243,10031546,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031546,M010548,,Black Irishman,37.7166,-118.59678,NA,United States,California,Mono,M,Tungsten,,,Unknown,,N,Occurrence,,,,,,,,,,,"Gere, W.",,,,,,,"CALIF. SP. REPT. 48, P. 8 AND PL. 1B. 725, P. 276-7USGS MAP MR-25, NO. 53; ADD. REF.: GQ-99",,,,,,,,,D,,,,,,,,,,,,,,,,,
243,10116203,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10116203,D000918,60510012,Black Irishman Tungsten Group,37.71883,-118.59405,NA,United States,California,Mono,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,"Ridenour, James",,,,,,,"CALIF. DIV. MINES SPECIAL REPORT 48, 1956, P. 8.",,,,,,,,,D,,,,,,,,,,,,,,,,,
